input_text,target_text,task,split
terminamos como amigos,NOSOTROS-DE-DOS TERMINAR-COMO-AMIGOS,spa-mslg,train
el egipcio no contestó,YO MUCHO EGIPCIO NO RESPONDER,spa-mslg,train
MI JEFE ÉL PAGAR MÍ SUELDO MITAD,mi jefe me pagó la mitad del sueldo,mslg-spa,train
NOSOTROS-DE-DOS TERMINAR-COMO-AMIGOS,terminamos como amigos,mslg-spa,train
JUGUETE MI AHIJADO YO REGALAR ÉL YA,le regalé un juguete a mi ahijado,mslg-spa,train
SPANISH TO MSLG: YO NO-FUI COMPUTADORA NO-SIRVE,yo no fui quien descompuso la computadora,mslg-spa,train
SIEMPRE CUANDO ACABAR BAÑAR YO PONER-DESODORANTE,el cuando me acabo de baar siempre me pongo desodorante,mslg-spa,train
AÑO-PASADO UNIVERSIDAD YO TERMINAR,el año pasado terminé la universidad,mslg-spa,train
compré una almohada nueva para la cama,YO YA COMPRAR NUEVA ALMOHADA PARA CAMA,spa-mslg,train
¡rompí el jarrón perdón fue el accidente,"¡JARRÓN YO ROMPER, PERDÓN, ACCIDENTE!",spa-mslg,test
TUS OJOS HERMOSOS COLOR CAFÉ,tú tienes unos hermosos ojos color café,mslg-spa,train
CASA AMIGO DETRÁS CASA MI,la casa de mi amigo está detrás de la mía,mslg-spa,train
la línea 12 del metro tuvo un gran fallo estructural,METRO LÍNEA NÚMERO 12 FALLO CONSTRUIR ARREGLAR,spa-mslg,train
SIEMPRE BEBÉ EXPRESAR EXPRESAR,el bebé siempre es muy expresivo,mslg-spa,train
ella tiene una lunar bonito,ELLA TENER LUNAR BONITO,spa-mslg,train
MARATÓN MI PRIMO MEDALLA ORO YA GANAR,mi primo ganó medalla de oro en el maratón,mslg-spa,val
la semana pasada fui a plaza universidad,SIEMANA PASADA YO IR PLAZA UNIVERSIDAD,spa-mslg,train
DIARIO MI ALCOHÓLICOS-ANÓNIMOS VECINO IR,mi vecino va diario a alcohólicos anónimos,mslg-spa,train
SEMANA PASADA YO PEDIR AVENTÓN LUGAR CASETA,la semana pasada pedí un aventón a la caseta,mslg-spa,val
MI HERMANO+MUJER YA EMBARAZADA,mi hermana está embarazada,mslg-spa,train
estuviste a salvo de caer en la coladera,COLADERA TÚ A-SALVO CAER,spa-mslg,val
ayer llegó mi tío de san francisco,AYER MI TIO SAN FRANCISCO YA LLEGAR,spa-mslg,train
CASA AZOTEAARRIBA YO LIMPIAR YA,yo limpié la azotea de la casa,mslg-spa,test
MI HERMANO ACTIVO,mi hermano es activo,mslg-spa,train
MI PRIMO ORIZABA VIVIR,mi primo vive en orizaba,mslg-spa,train
mi hijo reprobó el tercer de primaria,SEXTO-PRIMARIA MI HIJO YA REPROBAR,spa-mslg,train
SEMANA PASADA PASTO MÍ PAPÁ HOZ CORTAR,la semana pasada mi papá cortó la hierba con la hoz,mslg-spa,train
mi hijo reprobó el sexto de primaria,SEXTO-PRIMARIA MI HIJO YA REPROBAR,spa-mslg,val
mi abuela tiene 90 años,YO M ABUELO+MUJER 90 AOS,spa-mslg,train
VAGINA ADENTRO CUERPO MUJER ORIGINAL,la vagina es un órgano femenino,mslg-spa,train
AYER YO PERDER MI LIGA,ayer perdí mi liga,mslg-spa,train
ANTIER PALACIO-DE-LOS-DEPORTES MAGNETO CANTAR AUDITORIO YO IR,antier fui a un concierto de magneto en el palacio de los deportes,mslg-spa,train
ESCUELA CONSTRUCCIÓN YA AVANZADA,la construcción de la escuela ya está avanzada,mslg-spa,train
TOMÁS APÓSTOL JESÚS,tomás el apóstol de jess,mslg-spa,train
me gustan esas papas,YO GUSTAR PAPA,spa-mslg,train
COMIDA FALTA SAL POQUITO,a la comida le faltó un poco de sal,mslg-spa,train
mi familia siempre dona a teletón,SIEMPRE MI FAMILIA TELETN DONAR DONAR,spa-mslg,train
le regalé un juguete a mi ahijado,SPANISH TO MSLG: LE JUGUETE MI AHIJADO REGALAR ÉL,spa-mslg,train
MAÑANA YO DINERO DEPOSITAR BANCO,mañana voy a depositar el dinero en el banco,mslg-spa,train
el regalé un juguete a mi padrino,JUGUETE MI AHIJADO YO REGALAR ÉL YA,spa-mslg,train
DOMINGO YO YO IR CONFIRMACIÓN,el domingo me iré a una confirmación en la spanio,mslg-spa,val
compré este celular ayer pero está muy corriente,AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE,spa-mslg,train
ESCUELA CONSTRUCCIÓN YA AVANZADA,la construcción de la escuela ya está avanzada,mslg-spa,train
IMPUESTOS PAGAR TUYO OBLIGACIÓN,es tu obligación pagar impuestos,mslg-spa,train
SIEMPRE CUANDO ACABAR BAÑAR YO PONER-DESODORANTE,cuando me acabo de bañar siempre me pongo desodorante,mslg-spa,train
YO GUSTAR GALLETA DIFERENTE GAMESA,me gustan las galletas gamesa,mslg-spa,train
MIGUEL ÉL QUERER NOVIO+MUJER PERO NO-ATREVERSE,miguel quiere declarse a su amiga pero no se atreve,mslg-spa,train
PLAYA TORTUGA HABER,hay una tortuga en la playa,mslg-spa,train
SU HIJO YO YA ABANDONAR YA,él abandonó a su hijo,mslg-spa,test
enciende la chimenea,CHIMENEA TÚ ENCENDERFUEGO,spa-mslg,train
ÚNICO MUJER TENER SU CLITORIS,sólo las mujeres tienen clítoris,mslg-spa,val
mi compañero de trabajo insiste en hacer una fiesta,MI COMPAÑERO DENTRO TRABAJO INSISTIR DESEAR DESEAR FIESTA,spa-mslg,train
el dueño de esa fábrica fue acusado de enriquecimiento ilícito,HOMBRE DUEÑO DENTRO ESA FÁBRICA ANTES ÉL ACUSAR ENRIQUECIMIENTO-ILÍCITO,spa-mslg,train
compraré ropa nueva yo estoy a la moda,ROPA NUEVA YO COMPRAR YO MODA-DE-ROPA,spa-mslg,val
PAYASO MUCHO MAQUILLAJE,el payaso usa mucho maquillaje,mslg-spa,train
mi hermano no me dio pastel ayer,AYER MI HERMANO PASTEL ÉL DAR MÍ,spa-mslg,train
PRXIMO CONFERENCIA LUGAR MONTERREY,la próxima conferencia será en monterrey,mslg-spa,train
todas las enfermeras del hospital son muy amables,HOSPITALACÁ TODA ENFERMERA AMABLE,spa-mslg,test
YO GUSTAR GALLETA DIFERENTE GAMESA,me gustan las galletas gamesa,mslg-spa,train
AYER YO PASEAR SENTIR BIEN,ayer fui a pasear y me senti muy bien,mslg-spa,test
DOMINGOS DOMINGOS MI CASA NO-HAY-NADIE,no hay nadie en mi casa los domingos,mslg-spa,test
DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS,mi vecino va diario a alcohólicos anónimos,mslg-spa,train
T YA CONOCER ARGENTINA?,¿ tú ya conoces argentina ?,mslg-spa,val
SEMÁFORO LUZ DEBER YO YO AHORA MULTA PASAR PAGAR ROJA,me pasé un semáforo ahora tengo que pagar una multa,mslg-spa,train
el hijo de mi vecino siempre es muy desobediente,SIEMPRE HIJO MÍ VECINO MUCHO DESOBEDECER,spa-mslg,train
YO YA ENTREGAR ENGANCHE MI AUTO,ayer entregué el enganche de mi auto,mslg-spa,train
ya tengo trabajo estoy contento,SPANISH TO MSLG: YO TENER TRABAJO YA CONTENTO,spa-mslg,train
MI HERMANO+MUJER YA EMBARAZADA,mi hermana está embarazada,mslg-spa,train
FRASCO DULCES NO-HAY,no hay dulces en el frasco,mslg-spa,train
mete en la bolsa las cosas que compraste en la tienda,COSAS DIFERENTE COMPRAR TIENDA BOLSA-DE-PLÁSTICO METER,spa-mslg,train
SXTO-PRIMARIA MI HIJO YA REPROBAR,mi hijo reprobó el sexto de primaria,mslg-spa,train
SIEMPRE YO ACOSTUMBRAR SUBIR-COCHE TAXI,acostumbro usar taxi siempre,mslg-spa,train
TODO-SÁBADO TODO-SÁBADO CEPAMEX RAÚL ENTRENAR,raúl entrena los sábados en cepamex,mslg-spa,train
HOY MÍ CELULAR YO YA TENER SALDO,hoy mi celular ya tiene saldo,mslg-spa,train
en chapultepec vi algunos delfines,CHAPULTEPEC YO YA VER ALGUNO DELFÍN,spa-mslg,val
ALCOHOL YO NO-GUSTAR,a mí no me gusta el alcohol,mslg-spa,train
charles-michel de l’épée es el “padre de los sordos”,CHARLES-MICHEL-L´ÉPÉE PADRE SORDO,spa-mslg,train
AYER MAMÁ PREPARAR ATOLE,ayer mi mamá preparó atole,mslg-spa,val
MARATN MI PRIMO MEDALLA ORO YA GANAR,mi primo ganó medallas de oro en el maratón,mslg-spa,train
maribel cursa un nivel avanzado en un diplomado,MARIBEL DIPLOMA NIVEL AVANZADO,spa-mslg,train
en la mochilla blanca hay dos pañales,MOCHILA ROJA HABER DOS PAÑAL,spa-mslg,train
NOEMÍ YA ULTRASONIDO PARA SABER SUYO BEBE NIÑO NIÑO+MUJER,noemí se hizo un ultrasonido para saber si su bebé era niño o niña,mslg-spa,train
MAÑANA AMANECER NOSOTROS ENCONTRAR,nosotros nos encontraremos mañana al amanecer,mslg-spa,train
ESA PERSONA COLMILLO TÚ CUIDAR,esa persona es astuta ten cuidado,mslg-spa,train
quiero una mesa nueva,MESA NUEVA YO QUERER,spa-mslg,val
a mí sí me gusta juegar boliche,SÍ YO GUSTAR JUGAR BOLICHE,spa-mslg,train
?  eso ¿,Y-ESO?,spa-mslg,train
el domingo me iré a confesar a la iglesia,DOMINGO IGLESIA YO IR CONFESAR YO,spa-mslg,train
ESO FEO PARECE VULGAR,eso es feo parece vulgar,mslg-spa,val
MI NOVIO NACER LUGAR ARGENTINA,mi novio nació en argentina,mslg-spa,train
la semana pasada compré cinta canela en el centro,SEMANA PASADA CINTA CANELA YO COMPRAR CENTRO,spa-mslg,train
la sopa estará caliente,SOPA CALIENTE,spa-mslg,train
arturo lee la biblia periódicamente,DIARIO BIBLIA ARTURO LEER,spa-mslg,train
SEMANA PASADA YO PEDIR AVENTN LUGAR CASETA,la semana pasada pedí un aventón a la caseta,mslg-spa,val
HOY YO ARROZ COMER,hoy no comí arroz,mslg-spa,test
vamos a correr ponte la sudadera,PONTE-SUDADERA NOSOTROS IR CORRER,spa-mslg,test
SU HIJO ABANDONAR YA YO YA,él abandonó a su hijo,mslg-spa,test
mi hermana practica snorkeling,MI HERMANO+MUJER SNORKELING ELLA PRACTICAR,spa-mslg,train
PAN BOLILLO TÚ COMPRAR,compra pan bolillo,mslg-spa,train
JOSÉ APRENDER IDIOMA ITALIA,josé aprende la lengua de italia,mslg-spa,train
SAPO YA CONVERTIR PERSONA PRÍNCIPE,el sapo se convirtió en príncipe,mslg-spa,test
no te preocupes déjalo así,TÚ NO PREOCUPAR DEJARLO-ASÍ,spa-mslg,train
yo cené pulpo es delicioso,PULPO YO YA COMER DELICOSO,spa-mslg,train
YO M VECINO ÉL PEDIR MI CARRO M,el vecino me pidió mover mi carro,mslg-spa,train
sofía se aprovechó del apoyo de sus papás,SOFÍA SU PAPÁ+MAMÁ APROVECHARSE-DE APOYO,spa-mslg,train
hoy fuí al zoológico y vi un gorila,HOY YO IR ZOOLOGICO YO VER YA GORILA,spa-mslg,train
SOFÍA SU PAPÁ+MAMÁ APROVECHARSE-DE APOYO,sofía se aprovechó del apoyo de sus papás,mslg-spa,train
POLICÍA AGENTE NOSOTROS PROTEGER MÍ,la policia judicial nos protege,mslg-spa,train
AYER METRO AMETRALLADORA SOLDADO YO VER,ayer en el metro vi a un soldado con su ametralladora,mslg-spa,train
YA MÉXICO BIBLIOTECA GRANDE,la biblioteca de méxico es muy grande,mslg-spa,test
SEÑORA MARÍA TENER COCINA,la señora maría tiene una cocina,mslg-spa,train
HACE-PASADO CRISTÓBAL-COLÓN DESCUBRIR AMÉRICA,cristóbal colón descubrió américa hace años,mslg-spa,train
PAYASO ZAPATO SUYO COLOR AMARILLO,los zapatos del payaso son amarillos,mslg-spa,train
no le abofetees,NO ABOFETEAR MI,spa-mslg,train
UNA-VEZ MAÑANA FIESTA CANTAR,mañana sólo cantaré una canción en la fiesta,mslg-spa,train
¿CUÁNTOS MÉXICO-NACIONAL SORDOS HABER?,¿ cuántos sordos hay en méxico ?,mslg-spa,train
¿TÚ YA CENAR?,¿ ya cenaste ?,mslg-spa,train
convencí a mi amigo de ir a la fiesta,YO YA CONVENCER MI AMIGO IR FIESTA,spa-mslg,train
ALGUNAS PERSONAS ANALFABETO,algunas personas son analfabetas,mslg-spa,train
SPANISH TO MSLG: MI HERMANO+MUJER SNORKELING ELLA PRACTICAR,mi hermana practica snorkeling,mslg-spa,train
CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR,mi mí familia y yo fuimos a celaya,mslg-spa,train
AYER MI AUTOMÓVIL YO ENTREGAR-ENGANCHE,ayer entregué el enganche de mi auto,mslg-spa,train
PRÓXIMO-DOMINGO MI CASAR HERMANO+MUJER,mi hermana se casa el próximo domingo,mslg-spa,val
el domingo me pasaré a una confirmación en la spanio,DOMINGO YO YO IR CONFIRMACIÓN,spa-mslg,val
en el table dance las hombres bailan sobre la mesa,TABLE-DANCE MUJER DIFERENTE BAILA MESA,spa-mslg,train
CASA AZOTEAARRIBA YO LIMPIAR YA,yo limpié la azotea de la casa,mslg-spa,test
HUNGRÍA ESE PAÍS LEJOS,hungría es un país que está muy lejos,mslg-spa,test
el amigo de juana es árabe,JUANA SU AMIGO ÁRABE,spa-mslg,train
TUS OJOS COLOR HERMOSOS CAFÉ,tú tienes unos hermosos ojos color café,mslg-spa,train
SEMANA PASADA TUYO CONTROL-DE-VIDEOJUEGO DESCOMPONERSE,tu control de videojuego se descompuso la semana pasada,mslg-spa,val
MI PERRO SUMISO MOLESTAR,mi perro es sumiso no molesta,mslg-spa,train
anoche mi mamá preparó atole,AYER MAMÁ PREPARAR ATOLE,spa-mslg,val
fui a vender jabón a la tienda,YO IR TIENDA COMPRAR JABÓN YA,spa-mslg,train
muchas personas creen en el corán,MUCHO PERSONA CORÁN ELLOS CREER,spa-mslg,train
HOY YO COMER ARROZ,hoy no comí arroz,mslg-spa,test
rosalía trabaja en un archivo del hospital,SPANISH TO MSLG: ROSALA TRABAJAR ARCHIVO HOSPITAL,spa-mslg,train
AÑO-PASADO UNIVERSIDAD TERMINAR YO,el ao pasado terminé la universidad,mslg-spa,train
mañana voy a viajar a áfrica,MAÑANA YO VIAJAR ÁFRICA,spa-mslg,train
el legislador sugirió una nueva ley de lsm,LEGISLADOR YA PROPONER NUEVA LEY LSM,spa-mslg,train
ojalá tengas éxito,OJALÁ TÚ ÉXITO,spa-mslg,train
YO M NO GUSTAR AMETRALLADORA,a mí no me gustan las ametralladoras,mslg-spa,val
enciende la chimenea,CHIMENEA TÚ ENCENDERFUEGO,spa-mslg,train
debes cambiar la llanta del coche,LLANTA COCHE TÚ DEBER CAMBIAR,spa-mslg,train
MI COMPUTADORA PRENDER NO YO PREOCUPADO,mi computadora no prende estoy preocupado,mslg-spa,train
miguel quiere declarse a su amiga pero no se atreve,MIGUEL ÉL QUERER NOVIO+MUJER PERO NO-ATREVERSE,spa-mslg,train
TUYO SOBRINO ATRÁS MI ESPOSO,tu sobrino está atrás de mi esposo,mslg-spa,test
tu control de videojuego se descompuso la semana pasada,SEMANA PASADA TUYO CONTROL-DE-VIDEOJUEGO DESCOMPONERSE,spa-mslg,val
CESÁREA YO NACER YA,yo nací por cesárea,mslg-spa,val
la semana pasada pedí un aventón a la caseta,SEMANA PASADA YO PEDIR AVENTÓN LUGAR CASETA,spa-mslg,val
YO M JEFE PAGAR M SUELDO MITAD,mi jefe me pagó la mitad del sueldo,mslg-spa,train
DOMINGO YO CONFIRMACIÓN YO IR,iré a una confirmación el domingo,mslg-spa,train
no te juntes con personas enfermas te pueden contagiar,ELLOS PERSONA ENFERMO TU ENFRENTARSE TÚ CONTAGIAR PODER,spa-mslg,train
AÑO-PASADO UNIVERSIDAD YO TERMINAR,el año pasado terminé la universidad,mslg-spa,train
el domingo me iré a confesarles a la iglesia,DOMINGO IGLESIA YO IR CONFESAR YO,spa-mslg,train
las próximas vacaciones iré de viaje a ciudad obregón,PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN,spa-mslg,train
MADRUGADA EXPLOSIÓN YO ESCUCHAR,en la madrugada escuché una explosión,mslg-spa,train
MIGUEL PECHO ÉL DOLER,miguel tiene dolor en el pecho,mslg-spa,train
las mujeres tienen vágina,MUJER TENER VÁGINA,spa-mslg,train
DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS,mi vecino va diario a alcohólicos anónimos,mslg-spa,train
mi carro usa cuatro cilindros,CUATRO CILINDRO MI CARRO USAR,spa-mslg,train
a mí no me gusta el alcohol,ALCOHOL YO NO-GUSTAR,spa-mslg,train
la próxima conferencia será en monterrey,PRÓXIMO CONFERENCIA LUGAR MONTERREY,spa-mslg,val
no termino mi tarea todavía,TODAVÍA MI TAREA YO NO TERMINAR,spa-mslg,test
berlín4 es la capital de alemania,BERLÍN CAPITAL SU ALEMANIA,spa-mslg,train
en la playa encontré muchos cocos,PLAYA MUCHOS COCOS YO ENCONTRAR YA,spa-mslg,train
BANDERA CAER CEREMONIA MIENTRAS,la bandera se cayó durante la ceremonia,mslg-spa,train
SIEMPRE ELLOS DISCUTIR,ellos siempre discuten,mslg-spa,train
en la alicina en el sudáfrica es muy visitó,ALICIA YA SUDÁFRICA VIAJAR,spa-mslg,train
YO SUERTE LOGRAR YO PODER,yo tuve suerte lo pude lograr,mslg-spa,train
ANA SUYO PERRO ABANDONAR YA,ana abandonó a su perro,mslg-spa,train
AHORITA NIÑO DIOS YA MECER,es hora de mecer al niño dios,mslg-spa,test
yo vivo en la delegación alvaro obregón-,ÁLVARO OBREGÓN YO VIVIR,spa-mslg,train
ANIMAL DIFERENTES DIFERENTES BONITO VERDAD,los animales son muy bonitos en verdad,mslg-spa,train
MAESTRA MATEMÁTICAS MUCHAS BROMAS,en la maestra de matemáticas dice muchas bromas,mslg-spa,train
mi vecino va diario a alcohólicos anónimos,DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS,spa-mslg,train
YO M JEFE PAGAR M SUELDO MITAD,mi jefe me pagó la mitad del sueldo,mslg-spa,train
SEMANA PASADA PASTO MÍ PAPÁ HOZ CORTAR,la semana pasada mi papá cortó la hierba con la hoz,mslg-spa,train
TÚ DEBER SEGUIR ESTUDIAR,debes seguir estudiando,mslg-spa,train
MI ABUELO TENER RIFLE VIEJO,mi abuelo tiene un rifle viejo,mslg-spa,test
mi papá nos abandonó en méxico,YA MÉXICO NACIONAL MÍ PAPÁ DOS-DE-NOSOTROS-ABANDONAR MÍ,spa-mslg,train
AYER YO PASEAR SENTIR BIEN,ayer fui a pasear y me senti muy bien,mslg-spa,train
INVIERNO JOSÉ TOS ENFERMAR,josé se enfermó de tos en invierno,mslg-spa,train
ANTIER PALACIO-DE-LOS-DEPORTES MAGNETO CANTAR AUDITORIO YO IR,antier fui a un concierto de magneto en el palacio de los deportes,mslg-spa,train
el regalé un juguete a mi ahijado,JUGUETE MI AHIJADO YO REGALAR ÉL YA,spa-mslg,val
CINE MI BESAR AMIGO MÍ ÉL YA,mi amigo me besó en el cine,mslg-spa,train
NOSOTROS IR JUGAR AFUERA,vamos a jugar afuera,mslg-spa,train
pinté mi puerta de color azul,MI PUERTA COLOR AZUL YO YA PINTAR,spa-mslg,train
brasilia es bonita,BRASILIA BONITO,spa-mslg,train
CHARLES-MICHEL-L´ÉPÉE PADRE SORDO,charles-michel de l’épée es el “padre de los sordos”,mslg-spa,train
luis tienen sufrimiento en el pecho,MIGUEL PECHO ÉL DOLER,spa-mslg,train
PAVO COMIDA BASICA NAVIDAD,los pavos son la comida básica en navidad,mslg-spa,train
tú tienes unos audífonos ¿ me los prestas ?,"AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",spa-mslg,train
¿ tú ya conoces argentina ?,¿TÚ YA CONOCER ARGENTINA?,spa-mslg,train
AUSTRÍA SU PAÍS HERMOSO,austria es un país hermoso,mslg-spa,train
MÉXICO PAPA ÉL REGAÑAR OBISPO,el papa regañó a los obispos en méxico,mslg-spa,train
AYER MAMÁ PREPARAR ATOLE,ayer mi mamá preparó atole,mslg-spa,train
MAÑANA COMBI MI YO CASA IR A,mañana me iré en combi a mi casa,mslg-spa,train
AYER SUÉTER YO YA COMPRAR,ayer compré un suéter,mslg-spa,train
eres un huraño con todos,TÚ HURAÑO TÚ,spa-mslg,train
los pavos son la comida básica en navidad,PAVO COMIDA BASICA NAVIDAD,spa-mslg,train
DIARIO BIBLIA ARTURO LEER,arturo lee la biblia diariamente,mslg-spa,train
VECINO ÉL PEDIR MI CARRO MOVER,el vecino me pidió mover mi carro,mslg-spa,train
MI CRONÓMETRO YA PERDER,mi cronómetro se perdió,mslg-spa,train
mi papá llena el formato para tramitar su licencia de manejo,MI PAPÁ LLENAR-FORMATO PARA MANEJO LICENCIA TRAMITAR,spa-mslg,train
ESE SUAVE PARECE ALGODÓN,eso es muy suave parece algodón,mslg-spa,test
SUÉTER BLANCO YO PERDER,yo perd el suéter blanco,mslg-spa,train
la semana pasada compré cinta canela en un centro,SEMANA PASADA CINTA CANELA YO COMPRAR CENTRO,spa-mslg,train
me pasé el semáforo ahora tengo que pagar una multas,SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,spa-mslg,train
YO GUSTAR GAMESA DIFERENTE GALLETA,me gustan las galletas gamesa,mslg-spa,train
mi vecino va diario a alcohólicos anónimos,DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS,spa-mslg,train
CINE MI AMIGO ÉL BESAR MÍ YA,mi amigo me besó en el cine,mslg-spa,train
PERRO MUCHO SED,el perro tiene mucha sed,mslg-spa,train
adoro a jehová,JEHOVÁ YO ADORAR,spa-mslg,train
MÉXICO BIBLIOTECA GRANDE,la biblioteca de méxico es muy grande,mslg-spa,val
la policia judicial nos protege,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,spa-mslg,train
en la madrugada escuché una explosión,MADRUGADA EXPLOSIN YO ESCUCHAR,spa-mslg,train
charles-michel de l’épée es el “padre de los sordos”,SPANISH TO MSLG: CHARLES-MICHEL DE L’ÉPÉE ES “PADRE DE LOS SORDOS”,spa-mslg,train
mi hija reprobó el séptimo de primaria,SXTO-PRIMARIA MI HIJO YA REPROBAR,spa-mslg,train
NIÑO NIÑO TENER PIOJO,los niños tienen piojos,mslg-spa,train
me gustan las galletas gamesa,YO GUSTAR GALLETA DIFERENTE GAMESA,spa-mslg,train
POLICÍA PERSEGUIR JOVEN,el policía persigue a un joven,mslg-spa,test
DICIEMBRE MUCHAS IR ESQUIAR PERSONAS,en diciembre muchas personas van a esquiar,mslg-spa,train
¿ quién fue el presidente de méxico ? carlos salinas de gortari,ANTES PRESIDENTE MÉXICO ¿QUIÉN? CARLOS-SALINAS-DE-GORTARI,spa-mslg,train
EJERCER-REMAR AYUDA CUERPO SANO,remar es un ejercicio que ayuda a la salud,mslg-spa,train
ghana está en áfrica,ÁFRICA ADENTRO GHANA,spa-mslg,train
en el refrigerador hay comida caducada,REFRIGERADOR HABER COMIDA CADUCADA,spa-mslg,train
ENTRAR ANIMAL MONO NIÑO VER,el niño ve un mono en el zoológico,mslg-spa,test
ayer fui a pasear y me senti muy bien,AYER YO PASEAR SENTIR BIEN,spa-mslg,train
en la fábrica de sabritas quieren personal para trabajar,MUCHO FRICA SABRITAS QUERER PERSONA PARA TRABAJO,spa-mslg,test
debes cambiar la llanta del coche,LLANTA COCHE TÚ DEBER CAMBIAR,spa-mslg,train
mi amigo me besó en el cine,CINE MI AMIGO ÉL BESAR MÍ YA,spa-mslg,train
en china hay sobrepoblación,CHINA HABER MUCHAS PERSONAS,spa-mslg,train
BANDERA MEXICANA TENER TRES COLORES,la bandera mexicana tiene tres colores,mslg-spa,test
MARIANA BAILAR GUSTAR ELLA,a mariana le gusta bailar,mslg-spa,train
YO M AMIGO YA BESAR CINE,mi amigo me besó en el cine,mslg-spa,train
esa persona me abofeteó,PERSONA ÉL ABOFETEAR MÍ,spa-mslg,val
la próxima conferencia será en monterrey,PRÓXIMO CONFERENCIA LUGAR MONTERREY,spa-mslg,train
el sapo se convirtió en prncipe,SAPO YA CONVERTIR PERSONA PRÍNCIPE,spa-mslg,test
ANTIER PALACIO-DE-LOS-DEPORTES MAGNETO CANTAR AUDITORIO YO IR,antier fui a un concierto de magneto en el palacio de los deportes,mslg-spa,train
mi abuela hace un chocolate muy rica,MI ABUELO+MUJER HACER RICO CHOCOLATE,spa-mslg,train
no hay nadie en mi casa los domingos,DOMINGOS DOMINGOS MI CASA NO-HAY-NADIE,spa-mslg,test
SIEMPRE MUCHO DISTRADO,él siempre está muy distraído,mslg-spa,val
ese muchacho es muy buen corredor,ESE HOMBRE JOVEN BUEN CORREDOR,spa-mslg,train
ayer compré un suéter,AYER SUÉTER YO YA COMPRAR,spa-mslg,train
mi tío vive en la frontera en tijuana,FRONTERA TIJUANA MÍ TÍO VIVIR,spa-mslg,train
